date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:58:18	575/575	---M--	404	error ('Not%20Found')	text/html	etag:%2223f-4ae8f0ab47e80%22	http://digitonaut.com/robots.txt		(from )
09:58:19	3425/3425	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Feb%202023%2004:28:19%20GMT	http://digitonaut.com/art/yellow_starfield/	C:/My%20Web%20Sites/y/digitonaut.com/art/yellow_starfield/index.html	(from )
09:58:19	843/843	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Feb%202023%2004:28:19%20GMT	http://digitonaut.com/art/yoyo/	C:/My%20Web%20Sites/y/digitonaut.com/art/yoyo/index.html	(from )
09:58:19	639/639	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Feb%202023%2004:28:19%20GMT	http://digitonaut.com/art/zdog_colour_tunnel/	C:/My%20Web%20Sites/y/digitonaut.com/art/zdog_colour_tunnel/index.html	(from )
09:58:19	431/431	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Feb%202023%2004:28:20%20GMT	http://digitonaut.com/art/zooming_lines/	C:/My%20Web%20Sites/y/digitonaut.com/art/zooming_lines/index.html	(from )
09:58:19	131/131	---M--	200	added ('OK')	text/css	etag:%2283-5db9a5ea93b19%22	http://digitonaut.com/art/yellow_starfield/main.css	C:/My%20Web%20Sites/y/digitonaut.com/art/yellow_starfield/main.css	(from http://digitonaut.com/art/yellow_starfield/)
09:58:19	5230/5230	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Feb%202023%2004:28:20%20GMT	http://digitonaut.com/art/zoomquilt/	C:/My%20Web%20Sites/y/digitonaut.com/art/zoomquilt/index.html	(from )
09:58:24	1769/1769	---M-Z	200	added ('OK')	application/javascript	etag:W/%226e9-5db9a5eaad543%22	http://digitonaut.com/art/yellow_starfield/main.js	C:/My%20Web%20Sites/y/digitonaut.com/art/yellow_starfield/main.js	(from http://digitonaut.com/art/yellow_starfield/)
09:58:25	2199/2199	---M-Z	200	added ('OK')	text/css	etag:W/%22897-5db9a5eb940d2%22	http://digitonaut.com/art/yoyo/normalize.min.css	C:/My%20Web%20Sites/y/digitonaut.com/art/yoyo/normalize.min.css	(from http://digitonaut.com/art/yoyo/)
09:58:25	784/784	---M--	200	added ('OK')	text/css	etag:%22310-5db9a5eb67da8%22	http://digitonaut.com/art/yoyo/style.css	C:/My%20Web%20Sites/y/digitonaut.com/art/yoyo/style.css	(from http://digitonaut.com/art/yoyo/)
